name,sex,weight
Faik,M,0.0006203450477
Cenan,U,0.0001925276917
Muhsin,M,0.000684079588
Merve,F,0.001029743402
İmren,U,0.000293969137
Erkan,M,0.0013613405
İmam,M,0.0003658084869
Günnur,U,0.000275696667
Özel,U,0.000173928523
Aytuğ,U,0.0001373515811
Cimşit,M,0.000113100819
Güher,F,0.0001442858367
Tanju,U,0.000377913918
Mihri,U,0.0001504481383
Feyziye,F,0.0002085007781
Süleyman,M,0.00204537087
Tünay,U,0.000306522796
Gülizar,F,0.0007482449559
Dönüş,F,0.0003057572852
Besime,F,0.0003271711503
Behçet,M,0.0004605746165
Nesim,M,0.0003108250807
Zişan,U,0.0001530222881
Mazhar,M,0.000246962545
Düriye,F,0.0004575114593
Ruhsar,F,0.0001167542803
Nazif,M,0.0004884981602
Alkan,U,0.0002125362024
Remziye,F,0.001191263236
Müzeyyen,F,0.001064003372
Gökmen,M,0.0003935582991
Özmen,U,0.0001186622919
Dilân,F,0.0002407153986
Türabi,M,0.0001673476722
Nimetullah,M,0.0001461016703
Yazgülü,F,0.0001533410185
Karabey,M,0.0001190730314
Halef,M,0.0002033319047
Sıdar,U,0.0001205401056
Yurdanur,U,0.0003445003902
Mine,F,0.0009021477985
Bilge,U,0.0005375661785
Senai,M,0.0001205401056
Nuri,M,0.001274627465
Hamra,F,0.0001175045833
Mesrure,F,0.0001939426124
Atiye,F,0.0005407898297
Şafak,U,0.0004664941106
Hami,M,0.000250768531
Yekta,U,0.0001681045102
Birkan,M,0.000248853195
Şule,F,0.0006585816139
Müzehher,F,0.0001379191521
Nilüfer,F,0.0007897422264
Demirhan,U,0.0001168378853
Veli,M,0.001067860046
Behire,F,0.0001243677252
Ercan,M,0.001322394153
Cennet,F,0.0009714033004
Ekrem,M,0.001153127155
Sara,F,0.0003648194885
İnsaf,F,0.0002192304659
Çelik,M,0.0001011604479
Burçin,U,0.0004738255523
Konca,F,0.0001544830029
Batuhan,M,0.0002426949662
Tazegül,F,0.0001514185728
Perihan,F,0.00117620867
Erdinç,M,0.000616175463
Emriye,F,0.0004619506383
Atakan,M,0.00036218693
Nurdan,U,0.0006923937791
Aşkım,U,9.940777617e-05
Ataman,M,0.0001277756911
Solmaz,F,0.0004526622116
Şahabettin,M,0.0002808201437
Nihal,F,0.0009634090725
Seçil,F,0.0005237468597
İbrahim,M,0.003126040767
Ruşen,U,0.0003188272747
Yazgül,F,0.0002880297543
Mesure,F,0.0001602536671
Biray,U,0.0001046710379
Taygun,M,0.0001023122168
Recai,M,0.0004718843979
Seylân,U,0.0001004824861
Günal,U,0.0001427891963
Doğukan,M,0.0002221946689
Zatiye,F,0.0001551138059
Gürcan,U,0.0004247506762
Şefik,M,0.0005057443198
Semin,F,0.0001016419377
Dursun,U,0.001323516065
Ayben,F,0.0001476970042
Şekernaz,F,0.0002086412299
Mümine,F,0.000416345377
Mazlum,M,0.0002616682656
Hurşit,M,0.0003031272041
Aytekin,M,0.0004944585827
Bilâl,M,0.001140833773
Güvercin,F,0.000158661501
Şakire,F,0.0003251953526
Saime,F,0.0008197375223
Işıl,F,0.0004264942857
Muğdat,M,0.0001189089059
Kürşad,M,0.0002426144837
Celâl,M,0.001208669354
Gazal,U,0.0004059428164
Keleş,M,9.970202775e-05
Emet,F,0.000124916121
Yadigâr,U,0.0005299557921
Abdülbasit,M,0.0001086983088
Turgay,M,0.0007960967182
Çağla,U,0.0003301126747
Nişan,U,0.0001546725139
Dilay,F,0.0001758269965
Çimen,F,0.0002594948413
Nabi,M,0.0002035239085
Seçgül,F,0.0001350574477
Ferah,U,0.0002949308526
Gülfem,F,0.0001614677274
Süreyya,U,0.0006680180574
Erman,M,0.0003833780172
Günay,U,0.0007190973509
Rıfat,M,0.0007417964819
Danyal,M,0.0001017379623
Mehmet,M,0.005731261447
İlyas,M,0.00100760033
Kâmuran,U,0.0005037517074
Hürriyet,U,0.0003084915735
Satu,F,0.0003254054756
Zemzem,F,0.000258892065
Şükrü,M,0.001272802877
Gözde,F,0.0005713789955
Cesur,M,0.0002584390601
Muhtar,M,0.0001478291716
Hatice,F,0.003663926094
Necmi,M,0.0005807527417
Volkan,M,0.0009592444751
Samire,F,0.0001225485762
Ayşenur,F,0.0003726579918
Azime,F,0.0006852918259
İfakat,F,0.0003047976931
Abdürrahman,M,0.00116158955
Emirhan,M,0.0001940432834
Muharrem,M,0.001161278473
Elveda,F,0.0002659251191
Nezihe,F,0.0004338039435
Gülsima,F,0.0001122341333
Kutlay,M,0.0001416218691
Erdal,M,0.0012873651
Kıymet,F,0.0008984818826
Sadriye,F,0.0001926797874
Rasih,M,0.0001387661558
Mehpare,F,0.0001638092668
Filiz,F,0.001578216588
Nasip,U,0.0001475647185
Hayriye,F,0.001396520786
Nuray,U,0.001350993755
Arefe,F,0.000141552903
Numan,M,0.0003998595705
Mustafa,M,0.004400281986
İlkay,U,0.000622827129
Cansın,U,0.0001133595326
Veyis,M,0.000252476043
Abdülhalim,M,0.0002882330934
Mümin,M,0.0005491930042
Tarkan,M,0.0003087763204
Nezire,F,0.0002919024274
Şükriye,F,0.0009363000903
Rüştü,M,0.0003820257096
Kader,U,0.0006978302414
Gülnur,F,0.000450044457
Refika,F,0.0005036353899
Halime,F,0.001376420442
Meva,F,0.0001399573035
Turna,F,0.0001234219493
Hamide,F,0.001109064416
Timur,M,0.0003331747915
Selmin,F,0.0001477631027
Rafi,M,0.0001233428073
Ferhan,U,0.0004432893081
Nariye,F,0.000162972585
Ünsal,U,0.0003423964645
Rızvan,M,0.0001710413071
Selman,M,0.0004833134099
Merzuka,F,0.0001249942668
Aslıhan,U,0.0005188391416
Sennur,F,0.0005187826776
Mahsun,M,0.0001490134028
Muhammet,M,0.001261242632
Cemalettin,M,0.0005674691533
Nazmi,M,0.0006886605611
Müslüme,F,0.0002504568235
Güleser,F,0.0004475641351
Zafer,U,0.001074123743
Seray,F,0.0002200751165
Fesih,M,0.0003594807733
Şerefnaz,F,0.0001245246561
Seyyare,F,0.0001556166072
Serbay,M,0.0001123211028
Göksen,U,0.0001855543996
Sıdkı,M,0.0001527028924
Ece,U,0.000433083039
Nadi,M,0.0001867085517
Ratibe,F,0.0001010638746
Figan,F,0.0001595819971
Semih,M,0.0006964435579
Dursune,F,0.0002944006394
Bahri,M,0.0006888732178
Berfin,U,0.0001027883116
Saygın,U,0.0001423096918
Kaniye,F,0.000275554957
Nagehan,F,0.0002669512948
Aybars,M,0.0001092359789
Namık,M,0.0004350402069
Arda,U,0.0003197447652
Mevlâna,M,0.0001082482104
Değer,U,0.0001101262624
Nakiye,F,0.00016164905
Atıl,M,0.0001117108944
Sumru,F,0.0001283095221
Vefa,U,0.0002125362024
Orhan,M,0.001619447737
Mücellâ,F,0.0002993018974
Nazik,U,0.0004622887231
Rıdvan,M,0.0008075200411
Fahrettin,M,0.0007918043974
Gülfidan,F,0.0004103925553
Kifayet,F,0.0002184719579
Uygar,M,0.0001798897235
Ersoy,M,0.0003315589261
Gümüş,U,0.0001435394672
Metehan,M,0.0002067134612
Kebire,F,0.000234468389
Pervin,F,0.0005108161058
İdris,M,0.0008823723245
Karanfil,F,0.0001501882967
Fethullah,M,0.0002295015237
Gülcihan,F,0.0003488661418
Piruze,F,0.0001235010406
Ensar,M,0.0002522438811
Gaye,F,0.0002462894595
Vural,M,0.0003821534902
Sümer,U,0.0001930342111
Rüveyde,F,0.000253864556
Keramettin,M,0.0001781442391
Fidan,F,0.0007460100379
Hünkâr,U,0.0001718387067
Münip,M,0.0001253063629
Barika,F,0.0001054147136
Tan,U,0.0001244462154
Şemsi,F,0.0005277400938
Süphan,U,0.0001852383828
Polat,M,0.0002698255381
Ferda,U,0.0004543202021
Ziver,U,0.0002011592351
Fedai,M,0.0002502227881
Aliye,F,0.0008826600053
Aysel,F,0.001737875489
Leman,F,0.0005954307585
Gülşah,F,0.0007421254995
Mihriye,F,0.0002196309685
Berat,U,0.0003421111579
İkbal,U,0.0004600442815
Mahmure,F,0.0002945995812
Suphi,M,0.0003597251611
Hanım,F,0.001252073567
Cemile,F,0.001552874563
Kevser,F,0.0007293578806
Öykü,F,0.0001333109417
Turhan,M,0.0005122668571
Zinet,F,0.0003402508333
Memduh,M,0.000361133941
Cahide,F,0.0005529142268
Akide,F,0.0001658825094
Elife,F,0.0007702755847
Akif,M,0.0007793119389
Akkız,F,0.0002511187393
Nefise,F,0.0005530908033
İsrafil,M,0.0003303492299
Abdülgafur,M,0.0002050534662
Nahide,F,0.0006139687341
Murtaza,M,0.0003227539794
Ragıp,M,0.0002990407834
Andaç,U,0.0001067951484
Kadır,M,0.001643674609
Neşegül,F,0.0001091465512
Nurettin,M,0.001123480497
Aytan,U,0.0001913576091
Metin,M,0.001738864112
Nail,M,0.0005879216654
Rezan,F,0.0002082195901
Bâhire,F,0.0001916635367
Vahittin,M,0.0001145591378
Ulviye,U,0.0004812685081
Aybüke,F,0.0001391175521
İsmail,M,0.002855907018
Tülün,F,0.0002643045077
Gürhan,M,0.0003169227109
Âdem,M,0.001698807284
Fazlı,M,0.0004938262319
Sakine,F,0.0008590003071
Ayser,F,0.0004524248598
Sever,U,0.0001298978525
Asena,F,0.0001492752895
Esen,U,0.0004460124029
Abdülmecit,M,0.0002718445708
Nedime,F,0.0004216588544
Çağlayan,U,0.0002273212418
Ali,M,0.004478005743
Anakadın,F,0.0001574258007
Ergün,U,0.0007660042939
Doğu,U,0.0001215886509
Muhterem,U,0.0004548786783
Çiler,F,0.0001867085517
Durkadın,F,0.0004350177607
Fikret,U,0.001015583225
Sacit,M,0.0002168119149
Nezafet,F,0.0001171717085
Sanem,F,0.0001694352498
Sait,M,0.0009531273879
Zihniye,F,0.0001147294861
Ejder,M,0.0002718086482
Rıza,M,0.001181617354
Serkan,M,0.001539263923
Taylan,U,0.0003275589177
Aydan,F,0.0003689978105
Zahide,F,0.0009918356112
Cahit,M,0.000701612093
Keriman,F,0.0003171075234
Selçuk,U,0.001006097092
Fahriye,F,0.0007879101626
Hikmet,U,0.001199375191
Göknur,U,0.000201837683
Halûk,M,0.0005539023306
Gökay,U,0.0002848937156
Güldeniz,F,0.0001387661558
Nardane,F,0.0001325027665
Belma,F,0.0003648730164
Sarı,F,0.000145901027
Nargül,F,0.0001717818724
Olgun,U,0.0002993997564
Evin,F,0.0002372834352
Naciye,F,0.001209614217
Maşuk,M,0.0001406532665
Torun,U,0.0001448936431
Hüdaver,U,0.0001252284118
Rasime,F,0.0003089027903
Siracettin,M,0.0001650563374
Velit,M,0.0001263926303
Tacettin,M,0.0004194763645
Mebruke,F,0.000108428474
Ağa,M,0.0001655289406
Reyhan,F,0.0009628007445
Sadegül,F,0.0002201638386
Kayhan,M,0.0003094081531
Ayten,F,0.001508681318
Ediz,U,0.0001713265187
Ahsen,U,0.0001901289761
Nevriye,F,0.0004738667671
Rasim,M,0.0007117542775
Bilsen,U,0.0001744890417
Erten,U,0.000104109795
Sadıka,F,0.000197978845
Gülnihal,F,0.0001819407377
Cezayir,U,0.0001369956552
